Acronym,Scientific_Name,SE RELATIONSHIP,Wunderlin and Hansen 2011 Name,FAMILY
agafle,Agalinis flexicaulis,#ERROR!,Agalinis flexicaulis,Orobanchaceae
agalin,Agalinis linifolia,#ERROR!,Agalinis linifolia,Orobanchaceae
alelut,Aletris lutea,#ERROR!,Aletris lutea,Nartheciaceae
ampmue,Amphicarpum muehlenbergianum,#ERROR!,Amphicarpum muhlenbergianum,Poaceae
ancvir,Anchistea virginica,#ERROR!,Woodwardia virginica,Blechnaceae
andbra,Andropogon brachystachyus,#ERROR!,Andropogon brachystachyus,Poaceae
andcab,Andropogon cabanisii,<,Andropogon ternarius,Poaceae
andcam,Andropogon campbellii,#ERROR!,Andropogon virginicus var. decipiens,Poaceae
andcap,Andropogon capillipes,<,Andropogon virginicus var. glaucus,Poaceae
andcre,Andropogon cretaceus,#ERROR!,Andropogon glomeratus var. glaucopsis,Poaceae
andcum,Andropogon cumulicola,<,Andropogon arctatus,Poaceae
anddea,Andropogon dealbatus,<,Andropogon virginicus var. glaucus,Poaceae
andgyrt,Andropogon gyrans var. 'tenuous',<,Andropogon gyrans var. gyrans,Poaceae
andhir,Andropogon hirsutior,#ERROR!,Andropogon glomeratus var. hirsutior,Poaceae
andlon,Andropogon longiberbis,#ERROR!,Andropogon longiberbis,Poaceae
andper,Andropogon perangustatus,#ERROR!,Andropogon gyrans var. stenophyllus,Poaceae
andten,Andropogon tenuispatheus,#ERROR!,Andropogon glomeratus var. pumilus,Poaceae
andvirh,Andropogon virginicus var. 'hirsute',<,Andropogon virginicus var. virginicus,Poaceae
andvirs,Andropogon virginicus var. 'smooth',<,Andropogon virginicus var. virginicus,Poaceae
andvirv,Andropogon virginicus var. virginicus,<,Andropogon virginicus var. virginicus,Poaceae
andvirw,Andropogon virginicus var. 'wetland',<,Andropogon virginicus var. virginicus,Poaceae
apiame,Apios americana,#ERROR!,Apios americana,Fabaceae
aribey,Aristida beyrichiana,#ERROR!,Aristida stricta var. beyrichiana,Poaceae
aripal,Aristida palustris,#ERROR!,Aristida palustris,Poaceae
aripat,Aristida patula,#ERROR!,Aristida patula,Poaceae
arirhi,Aristida rhizomophora,#ERROR!,Aristida rhizomophora,Poaceae
arispis,Aristida spiciformis var. spiciformis,<,Aristida spiciformis,Poaceae
ariten,Aristida tenuispica,#ERROR!,Aristida purpurascens var. tenuispica,Poaceae
arivir,Aristida virgata,#ERROR!,Aristida purpurascens var. virgata,Poaceae
asccon,Asclepias connivens,#ERROR!,Asclepias connivens,Apocynaceae
asclan,Asclepias lanceolata,#ERROR!,Asclepias lanceolata,Apocynaceae
ascped,Asclepias pedicellata,#ERROR!,Asclepias pedicellata,Apocynaceae
aselei,Asemeia leioides,<,Asemeia violacea,Polygalaceae
asiret,Asimina reticulata,#ERROR!,Asimina reticulata,Annonaceae
axofis,Axonopus fissifolius,#ERROR!,Axonopus fissifolius,Poaceae
axofur,Axonopus furcatus,#ERROR!,Axonopus furcatus,Poaceae
bachal,Baccharis halimifolia,#ERROR!,Baccharis halimifolia,Asteraceae
bejrac,Bejaria racemosa,#ERROR!,Bejaria racemosa,Ericaceae
bigaus,Bigelowia australis,#ERROR!,Bigelowia nudata ssp. australis,Asteraceae
bucflo,Buchnera floridana,<,Buchnera americana,Orobanchaceae
bucspn,Buchnera sp. nov.,<,Buchnera americana,Orobanchaceae
burcap,Burmannia capitata,#ERROR!,Burmannia capitata,Burmanniaceae
calbar,Calopogon barbatus,#ERROR!,Calopogon barbatus,Orchidaceae
carcor3,Carphephorus corymbosus,#ERROR!,Carphephorus corymbosus,Asteraceae
cenere,Centella erecta,<,Centella asiatica,Apiaceae
cenvir,Centrosema virginianum,#ERROR!,Centrosema virginianum,Fabaceae
chafasf,Chamaecrista fasciculata var. fasciculata,<,Chamaecrista fasciculata,Fabaceae
chatom,Chaptalia tomentosa,#ERROR!,Chaptalia tomentosa,Asteraceae
chrmar,Chrysopsis mariana,#ERROR!,Chrysopsis mariana,Asteraceae
cirhorh,Cirsium horridulum var. horridulum,<,Cirsium horridulum,Asteraceae
cirnut,Cirsium nuttallii,#ERROR!,Cirsium nuttallii,Asteraceae
clajam,Cladium jamaicense,#ERROR!,Cladium jamaicense,Cyperaceae
colancr,Coleataenia anceps ssp. rhizomata,<,Panicum anceps,Poaceae
collonl,Coleataenia longifolia ssp. longifolia,<,Panicum longifolium,Poaceae
colrigc,Coleataenia rigidula ssp. condensa,<,Panicum rigidulum,Poaceae
colrigr,Coleataenia rigidula ssp. rigidula,<,Panicum rigidulum,Poaceae
colten,Coleataenia tenera,#ERROR!,Panicum tenerum,Poaceae
concoe,Conoclinium coelestinum,<,Conoclinium coelestinum,Asteraceae
corflo2,Coreopsis floridana,#ERROR!,Coreopsis floridana,Asteraceae
corlew,Coreopsis lewtonii,<,Coreopsis leavenworthii,Asteraceae
crorot,Crotalaria rotundifolia,<,Crotalaria rotundifolia,Fabaceae
ctearo,Ctenium aromaticum,#ERROR!,Ctenium aromaticum,Poaceae
cycint,Cyclosorus interruptus,#ERROR!,Thelypteris interrupta,Thelypteridaceae
cypescl,Cyperus esculentus var. leptostachyus,<,Cyperus esculentus,Cyperaceae
cyphas,Cyperus haspan,#ERROR!,Cyperus haspan,Cyperaceae
cypova,Cyperus ovatus,#ERROR!,Cyperus ovatus,Cyperaceae
cyppol,Cyperus polystachyos,<,Cyperus polystachyos,Cyperaceae
dalcar,Dalea carnea,#ERROR!,Dalea carnea var. carnea,Fabaceae
diccae,Dichanthelium caerulescens,<,Dichanthelium dichotomum,Poaceae
diccha,Dichanthelium chamaelonche,<,Dichanthelium ensifolium var. unciphyllum,Poaceae
diccom2,Dichanthelium commonsianum,<,Dichanthelium ovale,Poaceae
diccomc,Dichanthelium commutatum ssp. commutatum,<,Dichanthelium commutatum,Poaceae
diccomj,Dichanthelium commutatum ssp. joorii,<,Dichanthelium commutatum,Poaceae
dicdicn,Dichanthelium dichotomum var. nitidum,<,Dichanthelium dichotomum,Poaceae
dicens,Dichanthelium ensifolium,,,Poaceae
dicere,Dichanthelium erectifolium,#ERROR!,Dichanthelium erectifolium,Poaceae
diclan1,Dichanthelium lancearium,<,Dichanthelium portoricense,Poaceae
diclax,Dichanthelium laxiflorum,#ERROR!,Dichanthelium laxiflorum,Poaceae
dicleu,Dichanthelium leucothrix,<,Dichanthelium leucothrix,Poaceae
dicneu,Dichanthelium neuranthum,<,Dichanthelium aciculare,Poaceae
dicporp2,Dichanthelium portoricense ssp. patulum,<,Dichanthelium portoricense,Poaceae
dicporp1,Dichanthelium portoricense ssp. portoricense,<,Dichanthelium portoricense,Poaceae
dicsph2,Dichanthelium sphagnicola,,,Poaceae
dicstrg,Dichanthelium strigosum var. glabrescens,#ERROR!,Dichanthlium strigosum var. glabrescens,Poaceae
dicten,Dichanthelium tenue,<,Dichanthelium ensifolium var. unciphyllum,Poaceae
dicweb,Dichanthelium webberianum,<,Dichanthelium portoricense,Poaceae
diohar,Diodia harperi,<,Diodia virginiana,Rubiaceae
drobre,Drosera brevifolia,#ERROR!,Drosera brevifolia,Droseraceae
drocap,Drosera capillaris,#ERROR!,Drosera capillaris,Droseraceae
dysobl,Dyschoriste oblongifolia,#ERROR!,Dyschoriste oblongifolia,Acanthaceae
edruni,Edrastima uniflora,#ERROR!,Oldenlandia uniflora,Rubiaceae
elebal,Eleocharis baldwinii,#ERROR!,Eleocharis baldwinii,Cyperaceae
eleflaf,Eleocharis flavescens var. flavescens,<,Eleocharis flavescens,Cyperaceae
eleela,Elephantopus elatus,#ERROR!,Elephantopus elatus,Asteraceae
eraatr,Eragrostis atrovirens,#ERROR!,Eragrostis atrovirens,Poaceae
eraell,Eragrostis elliottii,#ERROR!,Eragrostis elliottii,Poaceae
eraref,Eragrostis refracta,?,Eragrostis virginica,Poaceae
erehie,Erechtites hieraciifolius,<,Erechtites hieraciifolius,Asteraceae
