Plot (1mx1m),Species,% Cover,Notes
HY1,Bare ground,0,
HY1,CWD,4,
HY1,Leaf material,9,
HY1,DRYCOR var. COR,7,
HY1,SIDULM,6,
HY1,CYPHOR,1,
HY1,PASCON,1,
HY1,PARQUI,1,
HY1,SABPAL,2,
HY2,Bare ground,3,
HY2,CWD,5,
HY2,Leaf material,9,
HY3,Bare ground,1,
HY3,CWD,5,
HY3,Leaf material,10,
HY4,Bare ground,1,
HY4,CWD,6,
HY4,Leaf material,9,
HY5,Bare ground,1,
HY5,CWD,1,
HY5,Leaf material,9,
HY5,URELOB,1,
HY6,Bare ground,0,Cow patty and SABPAL tree in plot
HY6,CWD,3,Cow patty and SABPAL tree in plot
HY6,Leaf material,10,Cow patty and SABPAL tree in plot
HY6,SAPAL,1,Cow patty and SABPAL tree in plot
HY6,QURVIR,2,Cow patty and SABPAL tree in plot
HY7,Bare ground,0,SERREP AND SABPAL in plot
HY7,CWD,0,SERREP AND SABPAL in plot
HY7,Leaf material,10,SERREP AND SABPAL in plot
HY8,Bare ground,7,
HY8,CWD,6,
HY8,Leaf material,8,
HY9,,,
HY10,Bare ground,0,
HY10,CWD,7,
HY10,Leaf material,9,
HY10,SABPAL,6,
HY10,CYPESC,2,
HY11,Bare ground,0,SABPAL in plot
HY11,CWD,5,SABPAL in plot
HY11,Leaf material,10,SABPAL in plot
HY12,Bare ground,0,SABPAL in plot
HY12,CWD,6,SABPAL in plot
HY12,Leaf material,10,SABPAL in plot
HY12,DICCOM SPP. JOO,2,SABPAL in plot
HY12,SABPAL,2,SABPAL in plot
HY13,Bare ground,8,
HY13,CWD,5,
HY13,Leaf material,7,
HY13,DICCOM spp. JOO,5,
HY13,OPLSET,1,
HY14,,,
HY15,,,
CD1,Bare ground,0,
CD1,CWD,1,
CD1,Leaf material,10,
CD1,EUPLEP,3,
CD1,DICERE,7,
CD1,CLAJAM,5,
CD1,WOOVIR,8,
CD2,Bare ground,0,TAXASC in plot
CD2,CWD,0,TAXASC in plot
CD2,Leaf material,9,TAXASC in plot
CD2,DICERE,7,TAXASC in plot
CD2,CARVER,7,TAXASC in plot
CD3,Bare ground,1,Stump in plot
CD3,CWD,6,Stump in plot
CD3,Leaf material,9,Stump in plot
CD3,DICERE,6,Stump in plot
CD3,EUPLEP,1,Stump in plot
CD3,RHYINU,7,Stump in plot
CD4,Bare ground,0,TAXASC in corner
CD4,CWD,2,TAXASC in corner
CD4,Leaf material,10,TAXASC in corner
CD4,TOXRAD,3,TAXASC in corner
CD4,DIDERE,8,TAXASC in corner
CD4,RHYINU,3,TAXASC in corner
CD4,DICPOR SPP. POR,1,TAXASC in corner
CD4,PASLON,2,TAXASC in corner
CD4,POLCYM,2,TAXASC in corner
CD4,ELEVIV,2,TAXASC in corner
CD4,PLUBAC,4,TAXASC in corner
CD4,TELSER,1,TAXASC in corner
CD4,EUPLEP,1,TAXASC in corner
CD5,Bare ground,0,
CD5,CWD,0,
CD5,Leaf material,10,
CD5,CARVER,8,
CD5,RHEMAR var. MAR,1,
CD5,RHYINU,4,
CD5,DICPOR spp. PAT,5,
CD5,DICPOR SPP. POR,6,
CD5,ELEVIV,4,
CD5,ANDHIR,2,
CD5,ERICOM,7,
CD5,PLUBAC,5,
CD5,HYPFAS,6,
CD5,GRARAM,1,
CD6,,,
CD7,,,
CD8,,,
CD9,,,
CD10,,,
MF1,Bare ground,7,
MF1,CWD,2,
MF1,Leaf material,8,
MF1,SERREP,8,
MF1,LYOFRU,6,
MF1,GAYDUM,5,
MF1,ARIBEY,5,
MF1,DICPOR var. POR,1,
MF1,HOUPRO,1,
MF1,EUPPOL,2,
MF1,PTEPYC,1,
MF2,Bare ground,4,
MF2,CWD,5,
MF2,Leaf material,9,
MF2,SERREP,7,
MF2,ELEELA,4,
MF2,VACMYR,5,
MF2,LYOLUC,4,
MF2,ARIBEY,9,
MF2,ANDVIR var HIR,4,
MF2,ANDVIR var Smooth,5,
MF2,DICPOR var POR,5,
MF2,DICLEU ,2,
MF2,DICTEN,2,
MF2,RHYPUS,1,
MF2,HYPMYR,1,
MF2,PITTRA,1,
MF2,REXNUT,1,
MF2,LECTOR,1,
MF3,Bare ground,2,
MF3,CWD,2,
MF3,Leaf material,8,
MF3,SERREP,8,
MF3,ARIBEY,7,
MF3,ILEGLA,4,
MF3,POLRUG,1,
MF3,HYPMYR,1,
MF3,RHENUT,2,
MF3,SYNFLA,3,
MF3,ANDVIR var smooth,5,
MF3,ANDVIR var HIR,2,
MF3,ANDTEN,3,
MF3,DICSTR var GLA,6,
MF3,DICWEB,2,
MF4,Bare ground,0,
MF4,CWD,0,
MF4,Leaf material,9,
MF4,SERREP,9,
MF4,ARIBEY,10,
MF4,RHENUT,3,
MF4,ANDCAP,5,
MF4,TEPHIS,4,
MF4,HYPMYR,1,
MF4,ANDBRA,1,
MF4,EUPROT,1,
MF4,ANDCAB,5,
MF4,RHYPUS,2,
MF4,QUEMIN,1,
MF4,DICPOR var POR,1,
MF5,Bare ground,0,
MF5,CWD,0,
MF5,Leaf material,10,
MF5,SERREP,9,
MF5,ARIBEY,8,
MF5,ILEGLA,6,
MF5,ANDVIR var Smooth,6,
MF5,RHYPLU,5,
MF5,HYPCIS,3,
MF5,ELEBAL,5,
MF5,RHYPUS,2,
MF5,ANDCAB,3,
MF5,OCLRET,1,
MF6,Bare ground,0,
MF6,CWD,4,
MF6,Leaf material,10,
MF6,SERREP,9,
MF6,QUEMIN,5,
MF6,UN9 AND,4,
MF6,ARIBEY,7,
MF6,TEPHIS,5,
MF6,DICCHA,1,
MF6,DICWEB,2,
MF7,Bare ground,2,
MF7,CWD,5,
MF7,Leaf material,9,
MF7,SERREP,6,
MF7,VACMYR,6,
MF7,LYOLUC,7,
MF7,ILEGLA,3,
MF7,ARIBEY,6,
MF7,QUEMIN,4,
MF7,DICTEN,4,
MF7,DICWEB,4,
MF7,DICPOR VAR POR,4,
MF7,CALORN,1,
MF7,RHYFAS,2,
MF7,ELEELA,3,
MF7,PITTRA,1,
MF7,ANDCAM,1,
MF7,MIMFLO,1,
MF8,Bare ground,5,
MF8,CWD,2,
MF8,Leaf material,8,
MF8,SOPHIS,2,
MF8,EUTCAR,5,
MF8,TEPHIS,5,
MF8,ARISPI,8,
MF8,XYRCAR,4,
MF8,SERREP,2,
MF8,ASIRET,1,
MF8,HYPMYR,1,
MF8,ELEBAL,1,On the edge of plot
MF8,EUPRET,2,
MF8,RHYPLU,6,
MF8,RHYPUS,3,
MF8,DICPOR var POR,4,
MF8,DICWEB,2,
MF8,ANDGYR,1,
MF8,CNISTI,1,
MF9,Bare ground,1,
MF9,CWD,0,
MF9,Leaf material,9,
MF9,SERREP,6,
MF9,ARIBEY,9,
MF9,VACMYR,3,
MF9,LYOFRU,8,
MF9,MORPUM,8,
MF9,PILRIG,3,
MF9,QUEMIN,7,
MF9,ANDCAB,5,
MF9,HYPMYR,1,
MF9,MIMFLO,4,
MF9,DICWEB,2,
MF9,DICPOR var POR,1,
MF10,Bare ground,5,
MF10,CWD,0,
MF10,Leaf material,6,
MF10,SERREP,7,
MF10,VACMYR,6,
MF10,MORPUM,4,
MF10,ARIBEY,8,
MF10,ARIRHI,7,
MF10,EUSPET,3,
MF10,PITTRA,3,
MF10,DICTEN,4,
MF10,Unknown Andropogon 1 MF (RB Brett),4,
MF10,DICLEU,5,
MF10,RHYPLU,4,
MF10,DICWEB,5,
MF10,Unknown Andropogon 2 MF ,2,
MF10,DIC red internode,2,
MF11,Bare ground,8,
MF11,CWD,4,
MF11,Leaf material,7,
MF11,SERREP,7,
MF11,ARIBEY,7,
MF11,QUEMIN,5,
MF11,VACMYR,5,
MF11,HYPTET,2,
MF11,ILEGLA,4,
MF11,LYOFRU,2,
MF11,RHYFAS,1,
MF11,RHYPUS,2,
MF11,ANDVIR var Smooth,5,
MF11,DICPOR var POR,5,
MF11,DICSTR var GLA,4,
MF11,DICTEN,3,
MF11,HOUPRO,2,
MF11,PLEBAL,2,
MF12,SERREP,7,
MF12,ILEGLA,7,
MF12,DICTEN,7,
MF12,DICPORPOR,6,
MF12,DICWEB,6,
MF12,ARIBEY,8,
MF12,UN4 ARI,5,
MF12,ERIVER,3,
MF12,OCLRET,3,
MF13,Bare ground,8,
MF13,CWD,1,
MF13,Leaf material,6,
MF13,SERREP,6,
MF13,ARIBEY,6,
MF13,UN2 COR,6,
MF13,VACMYR,4,
MF13,ILEGLA,6,
MF13,LYOFRU,6,
MF13,QUEMIN,6,
MF13,UN 5,4,SEDGE
MF13,UN 4 ,5,
MF13,DIC WEB,4,
MF13,UN6 ,6,BIG CLUMP
MF14,Bare ground,8,
MF14,CWD,0,
MF14,Leaf material,4,
MF14,QUEMIN,9,
MF14,ERIVER,4,
MF14,ARIBEY,8,
MF14,LYOLUC,1,
MF14,SOLVIR,1,
MF14,EUPREC,2,
MF14,FIMPUB,2,
MF14,PTEPYC,4,
MF14,LUCMAR,1,
MF14,PITTRA,5,
MF14,POLSET,1,
MF14,ERYYUC,2,
MF14,DICSTR VAR GLA,3,
MF14,SYSNAS,2,
MF14,DICPOR SPP POR,3,
MF14,DICTEN,2,
MF14,RHENUT,1,
MF15,Bare ground,6,
MF15,CWD,4,
MF15,Leaf material,9,
MF15,PTEPYC,2,
MF15,SERREP,5,
MF15,ARIBEY,6,
MF15,QUEMIN,7,
MF15,LYOLUC,6,
MF15,EUPPOL,2,
MF15,CARCOR,3,
MF15,LIATEN,1,
MF15,XYRCAR,2,
MF15,MINQUA,3,
MF15,DICWEB,1,
MF15,ANDCAB,2,
MF15,PITTRA,3,
MF15,DICPOR POR,3,
MF15,DICTEN,1,
MF15,ANDVIR,3,
MF16,Bare ground,0,
MF16,CWD,2,
MF16,Leaf material,8,
MF16,SERREP,7,
MF16,LYOFRU,6,
MF16,ARIBEY,9,
MF16,DICTEN,4,
MF16,OCLRET,3,
MF16,ANDVIR,4,
MF16,HYPTET,2,
MF16,DICPOR var POR,2,
MF17,Bare ground,0,
MF17,CWD,4,
MF17,Leaf material,9,
MF17,SERREP,9,
MF17,ILEGLA,7,
MF17,ARIBEY,6,
MF17,ARIRHI,4,
MF17,DICSTR VAR.GLA,6,
MF17,DICTEN,4,
MF17,HYPMYR,1,
MF17,RHYFAS,3,
MF18,Bare ground,5,
MF18,CWD,4,
MF18,Leaf material,9,
MF18,ARIBEY,6,
MF18,SERREP,7,
MF18,LYOLUC,6,
MF18,ANDCAB,5,
MF18,ANDVIR,5,
MF18,ELEELI,2,
MF18,SMIAUR,1,
MF19,Bare ground,6,
MF19,CWD,2,
MF19,Leaf material,8,
MF19,SERREP,9,
MF19,QUEMIN,5,
MF19,SYNFLA,3,
MF19,ILEGLA,4,
MF19,VACMYR,1,
MF19,EUPCAT,1,
MF19,EUPRUC,2,
MF19,RHYFAS,1,
MF19,ANDCAP,4,
MF19,HOUPRO,1,
MF19,DICTEN,1,
MF19,DICSTR var GLA,2,
MF20,Bare ground,0,
MF20,CWD,1,
MF20,Leaf material,10,
MF20,SERREP,9,
MF20,ARIBEY,8,
MF20,QUEMYR,3,
MF20,PTAAQU,1,
MF20,TEPHIS,3,
MF20,VACSTA,1,
DP1,Bare ground,7,
DP1,CWD,0,
DP1,Leaf material,5,
DP1,SERREP,6,
DP1,ARIBEY,6,
DP1,PTEPYC,1,
DP1,QUEMIN,2,
DP1,PITTRA,3,
DP1,SYSNAS,2,
DP1,FUISCI,5,
DP1,SYNFLA,5,
DP1,EUPREC,5,
DP1,LITCAR,4,
DP1,QUEPUM,3,
DP1,ANDVIR var smooth,6,
DP1,ARIRHI,1,
DP1,HYPTET,1,
DP1,LUDMAR,3,
DP1,DICSTR var GLA,2,
DP1,LIAQUA,1,
DP1,DICPOR var POR,2,
DP1,DICWEB,2,
DP1,DICCHA,1,
DP1,LYORRU,2,
DP1,DICTEN,3,
DP1,HYPJUN,3,
DP2,Bare ground,8,
DP2,CWD,5,
DP2,Leaf material,2,
DP2,SERREP,6,
DP2,ARIBEY,5,
DP2,QUEMIN,5,
DP2,XYRCAR,2,
DP2,MIMFLO,3,
DP2,PTEPYC,2,
DP2,PITTRA,5,
DP2,SOPHIS,2,
DP2,ANDVIR var HIR,2,
DP2,ELEBAL,3,
DP2,HYPJUN,3,
DP2,SYNFLA,2,
DP2,DICPOR var POR,4,
DP2,DICCHA,3,
DP2,RHYFAS,4,
DP3,Bare ground,7,
DP3,CWD,0,
DP3,Leaf material,6,
DP3,SERREP,9,
DP3,QUEPUM,7,
DP3,VACMYR,7,
DP3,QURMIN,6,
DP3,ARIBEY,8,
DP3,PITTRA,5,
DP3,GYMCHA,1,
DP3,ARISPI,2,
DP3,ANDVIR var HIR,1,
DP3,ANDVIR var Smooth,1,
DP3,XYRELL,3,
DP3,CYNFLA,5,
DP3,DICTEN,2,
DP3,DICPOR var POR,1,
DP3,HYPTET,1,
DP3,MIMFLO,5,
DP4,,,
DP5,,,
WP1,Bare ground,1,
WP1,CWD,0,
WP1,Leaf material,10,
WP1,ARIBEY,7,
WP1,DICTEN,3,
WP1,ERICOM,4,
WP1,ERIDEC,4,
WP1,PROPEC,2,
WP1,DROCAB,2,
WP1,RHYPUS,3,
WP1,ANDCAM,1,
WP1,XYRSMA,3,
WP1,RHYCOL,1,
WP1,FUIBRE,1,
WP1,HYPCIS,1,
WP1,HYPHYP,1,
WP1,SOLVIR,1,
WP1,XYRFLA,1,
WP1,DICPOR,1,
WP1,ARISPI,2,
WP1,XYRELL,3,
WP1,LUDLIN,2,
WP1,VIOVID,1,
WP2,,,
WP3,,,
WP4,,,
WP5,,,
WP6,,,
WP7,,,
WP8,,,
WP9,,,
WP10,,,
WP11,,,
WP12,Bare ground,0,
WP12,CWD,0,
WP12,Leaf material,10,
WP12,CISHOR,1,
WP12,XYRCAR,4,
WP12,ELEBAL,7,
WP12,RHYFAS,6,
WP12,PANREP,3,
WP12,SCLMUE,4,
