Plot (1mx1m),Species,% Cover,Notes
HY1,Bare ground,0,
HY1,CWD,3,
HY1,Leaf material,9,
HY1,DRYCOR var. COR,4,
HY1,PASCON,1,
HY1,COMDIF,1,
HY2,Bare ground,0,
HY2,CWD,1,
HY2,Leaf material,10,
HY3,Bare ground,1,
HY3,CWD,5,
HY3,Leaf material,9,
HY3,SIDULM,2,
HY4,Bare ground,3,
HY4,CWD,1,
HY4,Leaf material,8,
HY4,SABPAL,1,
HY5,Bare ground,0,
HY5,CWD,1,
HY5,Leaf material,9,
HY6,Bare ground,0,SABPAL tree in plot
HY6,CWD,5,SABPAL tree in plot
HY6,Leaf material,10,SABPAL tree in plot
HY6,SABPAL,3,SABPAL tree in plot
HY7,Bare ground,0,SABPAL in plot
HY7,CWD,0,SABPAL in plot
HY7,Leaf material,10,SABPAL in plot
HY8,Bare ground,8,
HY8,CWD,2,
HY8,Leaf material,7,
HY8,PASNOT,7,
HY8,Unknown seedling 2,1,
HY8,DICPOR SPP. PAT,1,
HY9,,,
HY10,Bare ground,4,
HY10,CWD,3,
HY10,Leaf material,9,
HY10,SABPAL,6,
HY10,DICPOR spp PAT,5,
HY10,CYPESC,1,
HY10,SMIAUR,1,
HY10,PASNOT,3,
HY11,Bare ground,0,
HY11,CWD,0,
HY11,Leaf material,10,
HY11,SERREP,6,
HY11,QUEVIR,1,
HY11,VITROT,2,
HY12,Bare ground,0,SABPAL in plot
HY12,CWD,6,SABPAL in plot
HY12,Leaf material,10,SABPAL in plot
HY12,SABPAL,1,SABPAL in plot
HY12,OPLSET,2,SABPAL in plot
HY12,DICCOM SPP. JOO,1,SABPAL in plot
HY13,Bare ground,7,
HY13,CWD,6,
HY13,Leaf material,9,
HY13,DICCOM spp. JOO,5,
HY13,CYPESC,2,
HY13,DICPOR spp. PAT,4,
HY13,PASCON,3,
HY13,EREHIE,1,
HY13,DRYCOR var. COR,1,
HY14,,,
HY15,,,
CD1,Bare ground,0,TAXASC little in plot
CD1,CWD,1,TAXASC little in plot
CD1,Leaf material,10,TAXASC little in plot
CD1,DICERE,5,TAXASC little in plot
CD1,CARTAR,1,TAXASC little in plot
CD2,Bare ground,0,
CD2,CWD,7,
CD2,Leaf material,9,
CD2,DICERE,8,
CD2,CARVER,5,
CD2,RHYINU,2,
CD3,Bare ground,0,
CD3,CWD,1,
CD3,Leaf material,9,
CD3,DICERE,7,
CD3,RHYINU,4,
CD3,EUPLEP,1,
CD3,ELEVIV,6,
CD4,Bare ground,0,Stump/dead tree in plot
CD4,CWD,5,Stump/dead tree in plot
CD4,Leaf material,10,Stump/dead tree in plot
CD4,DICERE,7,Stump/dead tree in plot
CD4,EUPLEP,1,Stump/dead tree in plot
CD4,RHYINU,6,Stump/dead tree in plot
CD4,CARVER,3,Stump/dead tree in plot
CD4,DICPOR SPP. POR,1,Stump/dead tree in plot
CD5,Bare ground,0,TAXASC in plot
CD5,CWD,3,TAXASC in plot
CD5,Leaf material,10,TAXASC in plot
CD5,CARVER,6,TAXASC in plot
CD5,DICPOR SPP. PAT,5,TAXASC in plot
CD5,DICPOR spp. POR,7,TAXASC in plot
CD5,ERICOM,8,TAXASC in plot
CD5,XYRELL,3,TAXASC in plot
CD5,ELEVIV,7,TAXASC in plot
CD5,RHEMAR var. MAR,1,TAXASC in plot
CD5,RHYINU,2,TAXASC in plot
CD6,,,
CD7,,,
CD8,,,
CD9,,,
CD10,,,
MF1,Bare ground,8,SERREP in plot
MF1,CWD,4,SERREP in plot
MF1,Leaf material,5,SERREP in plot
MF1,SERREP,5,SERREP in plot
MF1,LYOFRU,6,SERREP in plot
MF1,CENVIR,3,SERREP in plot
MF1,PITTRA,5,SERREP in plot
MF1,GAYDUM,4,SERREP in plot
MF1,SMIAUR,1,SERREP in plot
MF1,ARIBEY,7,SERREP in plot
MF1,SOLFIS,2,SERREP in plot
MF1,DICSTR var. GLA,2,SERREP in plot
MF1,DICTEN,1,SERREP in plot
MF2,Bare ground,5,
MF2,CWD,5,
MF2,Leaf material,7,
MF2,SERREP,7,
MF2,LYOLUC,7,
MF2,HOUERO,2,
MF2,ARIBEY,8,
MF2,ARIBRHI,7,
MF2,ANDVIR var DEC,4,
MF2,ANDVIE var smooth,6,
MF2,PILRIG,3,
MF2,ANDVIR var HIR,1,
MF2,DICPOR var POR,3,
MF2,DICWEB,2,
MF2,DICTEN,1,
MF2,SISNAS,1,
MF3,Bare ground,3,
MF3,CWD,2,
MF3,Leaf material,8,
MF3,SERREP,8,
MF3,ILEGLA,5,
MF3,POLRUG,3,
MF3,HYPCIS,2,
MF3,RHENUT,3,
MF3,ARIBEY,7,
MF3,ANDVIR var HIR,4,
MF3,SYNFLA,3,
MF3,CARCOM,2,
MF3,DICSTR var GLA,5,
MF3,DICPOR var POR,3,
MF3,DICLEU,3,
MF4,Bare ground,0,SERREP and ILEGLA in plot
MF4,CWD,1,SERREP and ILEGLA in plot
MF4,Leaf material,9,SERREP and ILEGLA in plot
MF4,ILEGLA,5,SERREP and ILEGLA in plot
MF4,ARIBEY,9,SERREP and ILEGLA in plot
MF4,QUEMIN,6,SERREP and ILEGLA in plot
MF4,ANDCAM,3,SERREP and ILEGLA in plot
MF4,PITTRA,2,SERREP and ILEGLA in plot
MF4,DICPOR var POR,4,SERREP and ILEGLA in plot
MF4,TEPHIS,3,SERREP and ILEGLA in plot
MF4,DICWEB,1,SERREP and ILEGLA in plot
MF4,ANDCAB,1,SERREP and ILEGLA in plot
MF5,Bare ground,2,
MF5,CWD,1,
MF5,Leaf material,9,
MF5,SYNFLA,3,
MF5,SERREP,7,
MF5,HYPCIS,5,
MF5,VACMYR,5,
MF5,ARIBEY,9,
MF5,STIFYL,2,
MF5,SOPHIS,2,
MF5,RHYFAS,5,
MF5,PITTRA,3,
MF5,ANDVIR var Smooth,2,
MF5,ANDCAB,3,
MF5,DICPOR var POR,3,
MF5,DICTEN,1,
MF5,XYRELL,3,
MF5,SOLVIR,2,
MF5,DYSOBL,1,
MF5,ILEGLA,1,
MF6,Bare ground,0,
MF6,CWD,7,
MF6,Leaf material,8,
MF6,ARIBEY,7,
MF6,SERREP,8,
MF6,TEPHIS,5,
MF6,QEUCHA,4,
MF6,CARCOR,3,
MF6,UN10 AND,3,"DEAD MATERIAL, RED"
MF6,LUCFRU,2,
MF6,DICWEB,3,
MF6,UN2 EUP,1,MILK SAP
MF6,POLSET2,1,"WHITE FLOWER, ROUND "
MF7,Bare ground,4,
MF7,CWD,2,
MF7,Leaf material,9,
MF7,QUEMIN,6,
MF7,ARIBEY,9,
MF7,ARISPI,8,
MF7,SORSEC,7,
MF7,QUEPUM,2,
MF7,SCLPAU var PAU,1,
MF7,DICPOR var POR,5,
MF7,DICWEB,4,
MF7,RHYFAS,2,
MF8,Bare ground,7,
MF8,CWD,3,
MF8,Leaf material,7,
MF8,ARIBEY,9,
MF8,QUEMIN,6,
MF8,ARISPI,3,
MF8,PITTRA,4,
MF8,ASIRET,2,
MF8,LECTOR,3,
MF8,DICPOR var POR,5,
MF8,GYMCHA,1,
MF8,XYRCAR,1,
MF8,SOPHIS,3,
MF8,ANDGYR,2,
MF8,HYPTET,1,
MF8,VACMYR,3,
