Plot (r=??),Species,DBH (cm),Height (m),Notes
HY1,PINELL v. Den,30.0,15.3,TILREC & TILUSN
HY1,SABPAL,21.1,4.7,
HY1,SABPAL,26.9,9.5,
HY1,SABPAL,28.9,12.6,
HY1,SABPAL,30.3,10.9,
HY1,SABPAL,21.9,6.4,
HY1,PIN sp.,38.6,15.4,DEAD
HY1,SABPAL,26.7,11.0,
HY1,SABPAL,27.7,10.6,
HY1,SABPAL,24.6,5.9,
HY1,SABPAL,28.0,10.5,
HY1,SABPAL,24.1,13.0,PHLAUR
HY1,SABPAL,34.4,13.1,PHLAUR
HY1,SABPAL,29.4,13.8,
HY1,SABPAL,28.8,9.2,
HY1,SABPAL,28.1,13.1,"PHLAUR, TILREC"
HY1,QUEVIR,61.4,14.2,"TILSET, PLEMIC, TILREC, TILUSN"
HY1,SABPAL,27.8,12.0,TILREC
HY1,SABPAL,29.5,13.5,TILREC
HY1,PIN,32.4,18.0,"TILREC, TILSET, TILUSN"
HY1,SABPAL,25.9,8.6,
HY1,SABPAL,32.8,9.6,
HY1,SABPAL,25.5,6.5,VITLIN 
HY1,SABPAL,32.1,8.9,VITLIN 
HY1,SABPAL,28.4,13.2,"PHLAUR, TILREC, TILSET"
HY1,SABPAL,31.5,13.7,"PHLAUR, TILREC, TILSET, VITLIN"
HY1,SABPAL,26.5,13.5,"PHLAUR, TILREC "
HY1,SABPAL,26.8,12.5,
HY1,SABPAL,30.1,11.0,"TILREC, "
HY1,SABPAL,29.4,12.8,"PHLAUR, TILREC"
HY1,SABPAL,24.3,11.3,
HY1,SABPAL,32.9,13.0,
HY1,SABPAL,32.2,11.1,
HY2,SABPAL,42.1,2.0,
HY2,NA,11.5,7.5,DEAD
HY2,SABPAL,30.7,2.6,
HY2,SABPAL,27.3,2.1,
HY2,SABPAL,31.7,6.7,
HY2,SABPAL,27.6,7.5,
HY2,SABPAL,27.3,6.0,
HY2,SABPAL,36.3,9.3,
HY2,SABPAL,35.1,4.5,
HY2,SABPAL,41.4,2.7,
HY2,NA,18,2.4,DEAD
HY2,NA,12.2,1.7,DEAD
HY2,SABPAL,30.5,5.5,
HY2,SERREP,11.6,1.5,
HY2,SERREP,9,1.4,
HY2,Nys sp. ,6.5,8.0,
HY2,NYS sp. ,5.4,5.0,
HY2,NYS sp. ,6.2,3.5,
HY2,SERREP,15,1.5,
HY2,SABPAL,30.5,1.8,
HY2,SABPAL,27.2,5.8,
HY2,SABPAL,28.2,5.2,
HY2,SERREP,13.1,1.8,
HY2,SABPAL,29.4,10.3,TOXRAD
HY2,NA,3.5,3.4,DEAD
HY2,SABPAL,25.6,8.1,
HY2,SABPAL,25.9,9.5,
HY2,SABPAL,28.2,13.7,
HY2,SABPAL,29.2,12.4,VITROT
HY2,SABPAL,30.1,9.6,PHLAUR
HY2,NA,14,9.5,DEAD
HY2,SABPAL,28.5,5.8,
HY2,SABPAL,29.8,9.0,
HY2,PINELL,44.2,24.1,
HY2,SABPAL,20.2,1.7,
HY2,SERREP,6,1.4,
HY2,SABPAL,38.8,2.8,
HY2,SABPAL,36.3,2.9,
HY2,SABPAL,38.9,2.9,
HY3,SABPAL,27.3,12.2,
HY3,SABPAL,23.4,11.8,
HY3,SABPAL,30.1,8.0,
HY3,SABPAL,27.6,11.3,
HY3,QUEVIR,57.5,8.2,Scourched 
HY3,SABPAL,36.1,12.5,
HY3,SABPAL,27.9,12.5,
HY3,SABPAL,40.9,4.1,
HY3,SABPAL,27.8,9.7,
HY3,SABPAL,27.8*,9.7*,
HY3,SABPAL,29.6,1.8,
HY3,SABPAL,38.1,1.9,
HY3,SABPAL,23.7,6.5,
HY3,SABPAL,27.6,8.0,
HY3,SABPAL,24.7,8.8,PHLAUR
HY3,SABPAL,31.0,13.3,
HY3,SABPAL,33.4,13.0,
HY3,SABPAL,28.7,8.5,
HY3,SABPAL,23.7,13.3,PHLAUR
HY3,SABPAL,29.5,13.3*,PHLAUR
HY3,SABPAL,25.1,10.1,
HY3,SABPAL,30.4,16.3,PHLAUR
HY3,SABPAL,32.8,15.1,PHLAUR
HY3,SABPAL,27.3,8.4,
HY3,SABPAL,28.1,7.8,
HY3,SABPAL,19.9,1.7,
HY3,SABPAL,31.7,15.3,
HY3,SABPAL,29.4,15.1,
HY3,SABPAL,23.1,1.7,
HY3,SABPAL,29.2,3.1,
HY3,QUEVIR,13.2,4.1,Scourched 
HY3,SABPAL,32.2,2.4,
HY3,SABPAL,29.0,10.1,
HY3,QUEVIR,36.0,9.5,
HY3,QUEVIR,5.0,3.4,DEAD
HY3,SABPAL,29.6,2.5,
HY4,SABAL,23.3,10.9,"TILREC, VITROT"
HY4,SABAL,26.8,11.6,PHLAUR
HY4,SABAL,30.1,13.2,PHLAUR
HY4,NA,7.5,2.7,DEAD
HY4,SABAL,23.0,7.0,
HY4,QUEVIR,27.4,7.7,"VITROT, TOXRAD, PLEMIC, TILUSN"
HY4,VITROT,3.9,7.7*,
HY4,SABAL,27.4,7.9,
HY4,SABAL,37.6,2.7,
HY4,SABAL,32.0,11.7,
HY4,SABAL,25.2,7.2,DEAD
HY4,SABAL,25.9,1.8,
HY4,SABAL,27.4,6.7,
HY4,PINELL,18.2,13.7,"SMI sp., "
HY4,NA,28.7,5.4,DEAD. SMI sp.
HY4,SABPAL,21.2,1.7,
HY4,SABPAL,40.2,3.5,
HY4,SABPAL,25.0,1.6,
HY4,SABPAL,30.0,10.7,VITROT
HY4,SABPAL,30.0*,7.7,
HY4,SABPAL,28.7,9.5,
HY4,PINELL,26.1,16.3,
HY4,SABPAL,32.6,6.2,
HY4,SABPAL,25.3,7.1,
HY4,QUEVIR,54.0,9.9,"SMI sp., VITROT. Fire scar"
HY4,SABPAL,25.6,10.0,
HY4,SABPAL,32.6,10.7,
HY4,SABPAL,31.0,12.3,
HY5,SABPAL,27.3,9.8,
HY5,SABPAL,28.0,10.7,
HY5,SABPAL,27.0,14.7,PHLAUR
