Plot (r=??),Species,Avg. Height,% Cover,Notes
HY1,SABPAL,2.51,6,Recently burned
HY2,NA,,,Recently burned
HY3,SABPAL,3.26,6,Recently burned
HY4,SABPAL,1.94,7,Recently burned
HY5,SABPAL,2.06,6,Recently burned
HY6,SABPAL,2.43,5,
HY7,SERREP,1.35,3,Recently burned
HY7,SABPAL,2.20,3,Recently burned
HY8,SABPAL,1.97,6,Recently burned
HY9,SEPREP,1.65,8,
HY10,SABPAL,2.46,7,
HY11,SERREP,1.48,8,
HY12,SABPAL,2.18,6,
HY13,SABPAL,2.02,7,Hog damage throughout plot
HY14,,,,
HY15,,,,
CD1,NA,NA,NA,
CD2,NA,NA,NA,
CD3,NA,NA,NA,
CD4,NA,NA,NA,
CD5,HYPFAS,1.30,1,Only one at 1.3m in height
CD6,,,,
CD7,,,,
CD8,,,,
CD9,,,,
CD10,,,,
MF1,SERREP,1.39,8,
MF1,QUEGEM,1.45,6,
MF1,QUEMYR,1.61,9,
MF1,BEJRAC,1.97,6,
MF1,LYOFRU,1.40,5,
MF1,LYOLUC,1.36,6,
MF2,NA,NA,NA,
MF3,HYPCIS,1.30,1,Only plant 1.3m tall
MF4,SERREP,1.35,6,
MF4,LYOFRU,1.51,5,
MF4,ILEGLA,1.47,5,
MF4,LYOLUC,1.40,1,
MF5,SERREP,1.30,2,
MF5,ILEGLA,1.34,4,
MF6,NA,NA,NA,
MF7,NA,NA,NA,
MF8,SERREP,1.4,4,
MF9,SERREP,1.4,3,
MF9,LYOFRU,1.4,5,
MF9,QUECHA,1.5,4,
MF10,NA,NA,NA,
MF11,SERREP,1.32,6,
MF11,LYOLUC,1.4,1,
MF11,LYOFRU,1.45,2,
MF11,ILEGLA,1.3,1,
MF12,NA,NA,NA,
MF13,NA,NA,NA,
MF14,NA,NA,NA,
MF15,NA,NA,NA,
MF16,LYOFRU,1.366666667,4,Only plants 1.3m tall
MF17,SERREP,1.4,7,
MF17,ILEGLA,1.442857143,7,
MF18,SERREP,1.425,8,
MF18,LYOFRU,1.671428571,7,
MF19,SERREP,1.483333333,8,
MF19,ILEGLA,1.627586207,8,
MF19,LYOLUC,1.6375,6,
MF19,QUELAU,1.9,4,
MF19,CALAME,1.6,1,
MF20,SERREP,1.38,8,
MF20,LYOLUC,1.546153846,8,
MF20,QUEGEM,1.58,7,
MF20,LYOFRU,2.042857143,6,
DP1,NA,NA,NA,
DP2,NA,NA,NA,
DP3,NA,NA,NA,
DP4,,,,
DP5,,,,
WP1,,,,
WP2,,,,
WP3,,,,
WP4,,,,
WP5,,,,
WP6,,,,
WP7,,,,
WP8,,,,
WP9,,,,
WP10,,,,
WP11,,,,
WP12,,,,
WP13,,,,
WP14,,,,
WP15,,,,
WP16,,,,
WP17,,,,
WP18,,,,
WP19,,,,
WP20,,,,
SF1,SERREP,1.35,5,
SF1,QUEMYR,1.59,8,
SF1,BEJRAC,2.36,5,
SF1,QUECHA,1.67,7,
SF1,LYOFER,2.01,8,
SF1,QUEHEM,1.50,1,
SF2,QUEMYR,2.20,7,
SF2,LYOLUC,1.73,6,
SF2,LYOFRU,2.06,5,
SF2,SEREP,1.34,5,
SF3,SERREP,1.415789474,7,
SF3,LYOFRU,1.6,5,
SF3,LYOFER,2.088888889,6,
SF3,LYOLUC,2.015384615,6,
SF3,QUEMYR,1.716666667,5,
SF3,QUEHEM,1.95,4,
SF3,QUECHA,1.86,4,
SF4,QUECHA,1.75,7,
SF4,QUEMYR,1.62,8,
SF4,QUEGEM,1.61,6,
SF4,SERREP,1.38,4,
SF4,LYOFRU,1.83,6,
SF4,BEJRAC,1.50,1,
SF5,QUEMYR,2.29,8,
SF5,SERREP,1.58,9,
SF5,LYOLUC,1.81,7,
SF5,QUEGEM,2.28,6,
SF5,LYOFRU,2.03,7,
SF5,LYOFER,2.10,3,
SF6,QUEMYR,2.10,8,
SF6,QUEGEM,1.97,6,
SF6,QUECHA,1.91,5,
SF6,SERREP,1.85,5,
SF6,VACSTA,1.57,5,
SF6,LYOFRU,2.10,6,
SF7,SERREP,1.48,6,
SF7,QUEMYR,1.50,8,
SF7,BEJRAC,1.45,5,
SF7,LYOFRU,1.44,5,
SF7,LYOLUC,1.39,5,
SF8,QUECHA,2.66,4,
SF8,QUEMYR,2.1,8,
SF8,SERREP,1.39,7,
SF8,LYOLUC,2.3,6,
SF8,LYOFRU,1.63,4,
SF8,BEJRAC,1.38,4,
SF9,NA,NA,NA,
SF10,QUECHA,1.833333333,5,
SF10,QUEMYR,1.8,6,
SF10,SERREP,1.421052632,7,
SF10,LYOFRU,2.059375,8,
SF10,PINCLA,1.5,1,
SF10,QUEGEM,2.35,3,
