"","Scientific_Name","Acronym","SE.RELATIONSHIP","FAMILY","C.Value","Common_Name","Family"
"1","","DICSPH2","","Poaceae",NA,NA,NA
"2","","DICENS","","Poaceae",NA,NA,NA
"3","","RHYBRA","","Cyperaceae",NA,NA,NA
"4","Agalinis flexicaulis","AGAFLE","#ERROR!","Orobanchaceae",NA,NA,NA
"5","Agalinis linifolia","AGALIN","#ERROR!","Orobanchaceae",8,"Flaxleaf False Foxglove","Orobanchaceae"
"6","Aletris lutea","ALELUT","#ERROR!","Nartheciaceae",7,"Yellow Colicroot","Nartheciaceae"
"7","Ampelopsis arborea","NEKARB","#ERROR!","Vitaceae",4,"Peppervine","Vitaceae"
"8","Amphicarpum muhlenbergianum","AMPMUE","#ERROR!","Poaceae",5,"Blue Maidencane","Poaceae"
"9","Andropogon arctatus","ANDCUM","<","Poaceae",NA,NA,NA
"10","Andropogon brachystachyus","ANDBRA","#ERROR!","Poaceae",9,"Shortspike Bluestem","Poaceae"
"11","Andropogon glomeratus var. glaucopsis","ANDCRE","#ERROR!","Poaceae",6,"Purple Bluestem","Poaceae"
"12","Andropogon glomeratus var. hirsutior","ANDHIR","#ERROR!","Poaceae",7,"Bushy Bluestem","Poaceae"
"13","Andropogon glomeratus var. pumilus","ANDTEN","#ERROR!","Poaceae",2,"Bushy Bluestem","Poaceae"
"14","Andropogon gyrans var. gyrans","ANDGYRT","<","Poaceae",NA,NA,NA
"15","Andropogon gyrans var. stenophyllus","ANDPER","#ERROR!","Poaceae",NA,NA,NA
"16","Andropogon longiberbis","ANDLON","#ERROR!","Poaceae",6,"Hairy Bluestem","Poaceae"
"17","Andropogon ternarius","ANDCAB","<","Poaceae",7,"Splitbeard Bluestem","Poaceae"
"18","Andropogon virginicus var. decipiens","ANDCAM","#ERROR!","Poaceae",NA,NA,NA
"19","Andropogon virginicus var. glaucus","ANDDEA","<","Poaceae",6,"Chalky Bluestem","Poaceae"
"20","Andropogon virginicus var. glaucus","ANDCAP","<","Poaceae",6,"Chalky Bluestem","Poaceae"
"21","Andropogon virginicus var. virginicus","ANDVIRH","<","Poaceae",NA,NA,NA
"22","Andropogon virginicus var. virginicus","ANDVIRS","<","Poaceae",NA,NA,NA
"23","Andropogon virginicus var. virginicus","ANDVIRV","<","Poaceae",NA,NA,NA
"24","Andropogon virginicus var. virginicus","ANDVIRW","<","Poaceae",NA,NA,NA
"25","Apios americana","APIAME","#ERROR!","Fabaceae",6,"Groundnut","Fabaceae"
"26","Aristida palustris","ARIPAL","#ERROR!","Poaceae",8,"Longleaf Threeawn","Poaceae"
"27","Aristida patula","ARIPAT","#ERROR!","Poaceae",7,"Tall Threeawn","Poaceae"
"28","Aristida purpurascens var. tenuispica","ARITEN","#ERROR!","Poaceae",2,"Hillsboro Threeawn","Poaceae"
"29","Aristida purpurascens var. virgata","ARIVIR","#ERROR!","Poaceae",NA,NA,NA
"30","Aristida rhizomophora","ARIRHI","#ERROR!","Poaceae",8,"Florida Threeawn","Poaceae"
"31","Aristida spiciformis","ARISPIS","<","Poaceae",7,"Bottlebrush Threeawn","Poaceae"
"32","Aristida stricta var. beyrichiana","ARIBEY","#ERROR!","Poaceae",7,"Wiregrass","Poaceae"
"33","Asclepias connivens","ASCCON","#ERROR!","Apocynaceae",NA,NA,NA
"34","Asclepias lanceolata","ASCLAN","#ERROR!","Apocynaceae",8,"Fewflower Milkweed","Apocynaceae"
"35","Asclepias pedicellata","ASCPED","#ERROR!","Apocynaceae",10,"Savannah Milkweed","Apocynaceae"
"36","Asemeia violacea","ASELEI","<","Polygalaceae",NA,NA,NA
"37","Asimina reticulata","ASIRET","#ERROR!","Annonaceae",7,"Netted Pawpaw","Annonaceae"
"38","Axonopus fissifolius","AXOFIS","#ERROR!","Poaceae",1,"Common Carpetgrass","Fabaceae"
"39","Axonopus furcatus","AXOFUR","#ERROR!","Poaceae",1,"Big Carpetgrass","Poaceae"
"40","Baccharis halimifolia","BACHAL","#ERROR!","Asteraceae",3,"Groundsel Tree; Sea Myrtle","Asteraceae"
"41","Bejaria racemosa","BEJRAC","#ERROR!","Ericaceae",NA,NA,NA
"42","Bigelowia nudata ssp. australis","BIGAUS","#ERROR!","Asteraceae",NA,NA,NA
"43","Blechnum serrulatum","TELSER","#ERROR!","Blechnaceae",6,"Toothed Midsorus Fern; Swamp Fern","Blechnaceae"
"44","Buchnera americana","BUCFLO","<","Orobanchaceae",2,"American Bluehearts","Orobanchaceae"
"45","Buchnera americana","BUCSPN","<","Orobanchaceae",2,"American Bluehearts","Orobanchaceae"
"46","Burmannia capitata","BURCAP","#ERROR!","Burmanniaceae",9,"Southern Bluethread","Burmanniaceae"
