Plot (1mx1m),Species,% Cover,Notes
HY1,Bare ground,4,SABPAL in plot
HY1,CWD,3,SABPAL in plot
HY1,Leaf material,9,SABPAL in plot
HY1,SIDULM,1,SABPAL in plot
HY2,Bare ground,4,
HY2,CWD,7,
HY2,Leaf material,9,
HY3,Bare ground,2,SABPAL in plot
HY3,CWD,3,SABPAL in plot
HY3,Leaf material,10,SABPAL in plot
HY4,Bare ground,1,
HY4,CWD,6,
HY4,Leaf material,9,
HY5,Bare ground,0,
HY5,CWD,1,
HY5,Leaf material,10,
HY6,Bare ground,0,
HY6,CWD,4,
HY6,Leaf material,10,
HY6,DICPOR SPP. PAT,2,
HY7,Bare ground,1,
HY7,CWD,1,
HY7,Leaf material,10,
HY7,Unknown seedling,1,
HY8,Bare ground,6,SABPAL in plot
HY8,CWD,4,SABPAL in plot
HY8,Leaf material,9,SABPAL in plot
HY9,Bare ground,3,SERREP in plot
HY9,CWD,9,SERREP in plot
HY9,Leaf material,6,SERREP in plot
HY9,NA,NA,SERREP in plot
HY10,Bare ground,1,
HY10,CWD,6,
HY10,Leaf material,9,
HY10,SABPAL,1,
HY11,Bare ground,0,
HY11,CWD,6,
HY11,Leaf material,10,
HY11,DICPOR SPP. PAT,1,
HY11,SMIAUR,1,
HY12,Bare ground,0,
HY12,CWD,0,
HY12,Leaf material,10,
HY12,HYPMYR,2,
HY12,DICLAX,1,
HY12,DICCOM SPP. JOO,3,
HY12,FIMCAS,3,
HY12,SABPAL,1,
HY12,SOLNIG,2,
HY13,Bare ground,9,
HY13,CWD,6,
HY13,Leaf material,8,
HY13,OPLSET,6,
HY13,DICCOM spp. JOO,3,
HY13,DRYCOR var. COR,5,
HY14,,,
HY15,,,
CD1,Bare ground,0,
CD1,CWD,7,
CD1,Leaf material,10,
CD1,DICERE,7,
CD1,CLAJAM,2,
CD1,TOXRAD,1,
CD2,Bare ground,0,
CD2,CWD,0,
CD2,Leaf material,9,
CD2,DICERE,10,
CD2,RHYINU,1,
CD3,Bare ground,0,
CD3,CWD,1,
CD3,Leaf material,9,
CD3,DICERE,7,
CD3,DICPOR SPP. POR,3,
CD3,EUPLEP,4,
CD3,PLUBAC,1,
CD3,CARVER,5,
CD3,ANDVIR VAR SMOOTH,1,
CD3,RHEMAR VAR. MAR,1,
CD3,MECPRO,1,
CD4,Bare ground,0,
CD4,CWD,6,
CD4,Leaf material,10,
CD4,DICERE,8,
CD4,ANDVIR VAR. SMOOTH,2,
CD4,EUPLEP,1,
CD5,Bare ground,0,
CD5,CWD,5,
CD5,Leaf material,10,
CD5,PLUBAC,3,
CD5,HYPFAS,6,
CD5,ANDVIR Var. Smooth,7,
CD5,ANDHIR,2,
CD5,CARVER,7,
CD5,ELEVIV,5,
CD5,RHEMAR var. MAR,3,
CD5,DICPOR spp. POR,6,
CD5,DICPOR spp. PAT,2,
CD5,ERICOM,3,
CD5,GRARAM,2,
CD5,XYRSAM,2,
CD6,,,
CD7,,,
CD8,,,
CD9,,,
CD10,,,
MF1,Bare ground,8,
MF1,CWD,3,
MF1,Leaf material,6,
MF1,SERREP,9,
MF1,LYOFRU,7,
MF1,QUEGEM,5,
MF1,CENVIR,4,
MF1,ARIBEY,7,
MF1,PITTRA,5,
MF1,ARIRHI,3,
MF1,DICPOR var. POR,2,
MF1,EUPPOL,1,
MF2,Bare ground,7,
MF2,CWD,5,
MF2,Leaf material,6,
MF2,SERREP,7,
MF2,ARIBEY,8,
MF2,LYOLUC,6,
MF2,HOUPRO,3,
MF2,PILRIG,5,
MF2,ARIRHI,5,
MF2,ANDVIR var HIR,2,
MF2,ANDCAB,2,
MF2,SYSNAS,1,
MF2,ANDDEC,4,
MF2,HYPMYR,1,
MF2,DICLEU,1,
MF2,DICPOR var POR,2,
MF2,SORSEC,5,
MF2,STISYL,1,
MF3,Bare ground,1,
MF3,CWD,1,
MF3,Leaf material,9,
MF3,SERREP,9,
MF3,ARIBEY,7,
MF3,SYNFLA,5,
MF3,HYPCIS,4,
MF3,ILEGLA,4,
MF3,ANDVIR var smooth,1,
MF3,CARCOM,2,
MF3,DICLEU,6,
MF3,DICTEN,6,
MF3,RHENUT,4,
MF3,DICPOR var POR,5,
MF3,SOLVIR,2,
MF4,Bare ground,2,
MF4,CWD,5,
MF4,Leaf material,9,
MF4,SERREP,10,
MF4,ILEGLA,7,
MF4,LYOLUC,1,
MF4,PTEPYC,3,
MF4,ANDCAM,1,
MF4,DICPOR var POR,6,
MF4,SYNFLA,3,
MF4,HYPTET,1,
MF4,RHYFAS,2,
MF4,ARISPI,1,
MF4,XYRELL,2,
MF4,RHYPUS,3,
MF5,Bare ground,1,
MF5,CWD,0,
MF5,Leaf material,10,
MF5,SERREP,9,
MF5,ARIBEY,9,
MF5,HYPCIS,4,
MF5,GAYDUM,4,
MF5,STISYL,2,
MF5,SOLFIS,1,
MF5,LYOFRU,5,
MF5,DICPOR var POR,5,
MF5,DYSOBL,2,
MF5,ANDVIR var Smooth,6,
MF5,VACMYR,5,
MF5,ELEELA,1,
MF5,RHENUT,2,
MF5,DICTEN,2,
MF5,ARISPI,3,
MF5,ANDCAB,2,
MF5,SYNFLA,2,
MF5,RHYPUS,2,
MF6,Bare ground,0,
MF6,CWD,0,
MF6,Leaf material,10,
MF6,QUEMYR,8,
MF6,ARIBEY,6,
MF6,UN12 QUE,8,
MF6,VACMYR,6,
MF6,LYOFRU,5,
MF6,GAYDUM,3,
MF6,UN 1AND,4,
MF6,DICTEN,2,
MF6,DICWEB,1,
MF6,ARITEN,1,
MF7,Bare ground,5,
MF7,CWD,0,
MF7,Leaf material,8,
MF7,SERREP,5,
MF7,ARIBEY,8,
MF7,ARISPI,8,
MF7,QUEMIN,8,
MF7,VACMYR,5,
MF7,ASIRET,1,
MF7,DICTEN,2,
MF7,DICPOR var POR,5,
MF7,RHYFAS,2,
MF8,Bare ground,5,
MF8,CWD,0,
MF8,Leaf material,7,
MF8,PTEPYC,2,
MF8,ARIBEY,5,
MF8,EUTCAR,4,
MF8,EUPREC,3,
MF8,ARISPI,5,
MF8,ANDVIR var Smooth,6,
MF8,TEPHIS,5,
MF8,DYSOBL,2,
MF8,LECTOR,1,
MF8,ASIRET,1,
MF8,DICSTR var GLA,4,
MF8,DICPOR var POR,6,
MF8,DICTEN,3,
MF8,ELEELA,1,
MF8,LYOFRU,2,
MF9,Bare ground,4,
MF9,CWD,0,
MF9,Leaf material,9,
MF9,QUEMIN,8,
MF9,ARIBEY,9,
MF9,LYOFRU,7,
MF9,ANDCAB,6,
MF9,PILRIG,5,
MF9,LECTOR,3,
MF9,ARIRHI,2,
MF9,DICPOR var POR,3,
MF10,Bare ground,7,
MF10,CWD,0,
MF10,Leaf material,6,
MF10,SERREP,7,
MF10,ILEGLA,7,
MF10,GAYDUM,2,
MF10,PTEPYC,1,
MF10,ARIBEY,9,
MF10,ARIHYI,5,
MF10,Unknown Hatpin 1 MF (RB INAT) SYNFLA,1,
MF10,DICTEN,2,
MF10,DICSTR var. GLA,2,
MF10,Unknown DIC 1 MF,2,
MF10,MIMQUA,3,
MF10,DIC red internode,2,
MF10,DICWEB,3,
MF10,DICPOR,3,
MF10,RHYPLU,1,
MF10,PITTRA,2,
MF10,BULSTE,3,
MF11,Bare ground,0,
MF11,CWD,3,
MF11,Leaf material,7,
MF11,SERREP,9,
MF11,SOLVIR,2,
MF11,SOLFIS,4,
MF11,HOUPRO,4,
MF11,ERIVER,5,
MF11,DICPOR var POR,3,
MF11,DICSTR var GLA,2,
MF11,ANDCAB,3,
MF11,CROCOR,1,
MF11,CROROT,5,
MF11,ANDVIR spp. ,5,
MF12,Bare ground,7,
MF12,CWD,6,
MF12,Leaf material,7,
MF12,SERREP,6,
MF12,VACMYR,6,
MF12,UN10 AND,4,
MF12,ILEGLA,7,
MF12,DICWEB,6,
MF12,DICPORPOR,7,
MF12,DICTEN,7,
MF12,ERIVER,4,
MF12,HYPMYR,4,
MF12,LINGRA,3,
MF12,BIGAUS,2,
MF13,Bare ground,8,
MF13,CWD,0,
MF13,Leaf material,7,
MF13,SERREP,5,
MF13,QUEMYR,6,
MF13,QUEMIN,7,
MF13,UN2 ,6,
MF13,UN4 ,6,
MF13,ARIBEY ,6,
MF13,DICWEB,7,
MF13,UN 1,2,
MF13,VACMYR,6,
MF14,Bare ground,8,
MF14,CWD,4,
MF14,Leaf material,5,
MF14,ARIBEY,7,
MF14,SERREP,6,
MF14,ILEGLA,3,
MF14,STISYL,1,
MF14,ANDVIR,2,
MF14,VACMYR,4,
MF14,EUPREC,3,
MF14,PITTRA,4,
MF14,SOLVIR,3,
MF14,HOUPRO,2,
MF14,ERIVER,5,
MF14,DICSTR VAR GLA,5,
MF14,SYNFLA,2,
MF14,DICTEN,1,
MF14,RHENUT,1,
MF15,Bare ground,4,
MF15,CWD,4,
MF15,Leaf material,9,
MF15,QUEMIN,7,
MF15,VACMYR,4,
MF15,MINQUA,3,
MF15,SERREP,5,
MF15,ANDVIR,4,
MF15,DICWEB,2,
MF15,PITTRA,1,
MF15,LIATEN,1,
MF15,ANDCAB,3,
MF15,ARIBEY,5,
MF16,Bare ground,2,
MF16,CWD,0,
MF16,Leaf material,8,
MF16,LYOFRU,7,
MF16,ARIBEY,9,
MF16,VACMYR,7,
MF16,PTEPYC,2,
MF16,GAYDUM,2,
MF16,CETVIR,4,
MF16,VACARB,1,
MF16,DICCHA,5,
MF16,DICTEN,3,
MF16,DICWEB,2,
MF17,Bare ground,1,
MF17,CWD,6,
MF17,Leaf material,9,
MF17,SERREP,9,
MF17,QUEPUM,5,
MF17,ARIBEY,5,
MF17,RHYFAS,4,
MF17,RHYEAL,1,
MF17,ANDCAP,5,
MF17,DICPOR var POR,3,
MF17,DICSTR var GLA,1,
MF18,Bare ground,6,
MF18,CWD,5,
MF18,Leaf material,8,
MF18,SERREP,8,
MF18,ANDCAB,6,
MF18,ARIBEY,8,
MF18,VACMYR,6,
MF19,Bare ground,2,
MF19,CWD,0,
MF19,Leaf material,9,
MF19,SERREP,9,
MF19,OCLRET,3,
MF19,DIOPRI,5,
MF19,ARIBEY,7,
MF19,DICPOR var POR,1,
MF19,VACMYR,3,
MF19,SOLVIR,1,
MF19,RHENUT,1,
MF19,ANDVIR var smooth,3,
MF20,Bare ground,4,
MF20,CWD,5,
MF20,Leaf material,9,
MF20,QUEGEM,8,
MF20,SERREP,5,
MF20,ARIBEY,8,
MF20,VACMYR,3,
MF20,DICCHA,1,
DP1,Bare ground,8,
DP1,CWD,0,
DP1,Leaf material,2,
DP1,ARIBEY,4,
DP1,ARISPI var SPI,5,
DP1,ANDVIR var Smooth,5,
DP1,ANDHIR,1,
DP1,HYPJUN,2,
DP1,QUEMIN,6,
DP1,EUPREC,6,
DP1,CHATOM,4,
DP1,PITTRA,5,
DP1,STISYL,4,
DP1,SYNFLA,2,
DP1,RHENUT,4,
DP1,ARIRHI,1,
DP1,LIAQUA,2,
DP1,DICTEN,1,
DP1,DICWEB,1,
DP1,DICPOR var POR,3,
DP1,DICSTR var GLA,1,
DP2,Bare ground,8,
DP2,CWD,5,
DP2,Leaf material,5,
DP2,ARIBEY,7,
DP2,QUEMIN,5,
DP2,PITTRA,5,
DP2,XYRCAR,2,
DP2,MIMFLO,5,
DP2,PTEPYC,5,
DP2,SYNFLA,5,
DP2,GAYDUM,2,
DP2,RHYFAS,4,
DP2,ELEBAL,4,
DP2,LECTOR,1,
DP2,FUISCI,5,
DP2,SOPHIS,1,
DP2,ANDCAM,3,
DP2,DICCHA,4,
DP2,DICWEB,3,
DP2,LIAQUA,1,
DP2,VACMYR,1,
DP3,Bare ground,8,
DP3,CWD,0,
DP3,Leaf material,7,
DP3,SERREP,7,
DP3,QUEPUM,7,
DP3,ARIBEY,9,
DP3,QUEMIN,8,
DP3,SYNFLA,4,
DP3,PITTRA,4,
DP3,SORSEC,5,
DP3,VACMYR,2,
DP3,GAYDUM,2,
DP3,DICWEB,1,
DP3,ELEBAL,3,
DP3,DICPOR var POR,2,
DP3,SOPHIS,3,
DP3,RHYFAS,3,
DP3,MIMFLO,5,
DP3,HYPTET,1,
DP3,XYRELL,1,
DP4,,,
DP5,,,
WP1,,,
WP2,,,
WP3,,,
WP4,,,
WP5,,,
WP6,,,
WP7,,,
WP8,,,
WP9,,,
WP10,,,
WP11,,,
WP12,,,
WP13,,,
WP14,,,
WP15,,,
WP16,,,
WP17,,,
WP18,,,
WP19,,,
WP20,,,
SF1,Bare ground,0,QUEMYR IN PLOT
SF1,CWD,5,QUEMYR IN PLOT
SF1,Leaf material,10,QUEMYR IN PLOT
SF1,GAYDUM,5,QUEMYR IN PLOT
SF1,QUEMIN,4,QUEMYR IN PLOT
SF2,Bare ground,5,SERREP OVER PLOT
SF2,CWD,3,SERREP OVER PLOT
SF2,Leaf material,9,SERREP OVER PLOT
SF2,SOPHIS,3,SERREP OVER PLOT
SF2,EUPPOL,3,SERREP OVER PLOT
SF2,LYGAPH,1,SERREP OVER PLOT
SF2,ARITEN,2,SERREP OVER PLOT
SF3,Bare ground,0,SERREP & LYOFER IN PLOT
SF3,CWD,3,SERREP & LYOFER IN PLOT
SF3,Leaf material,10,SERREP & LYOFER IN PLOT
SF3,QUEHEM,6,SERREP & LYOFER IN PLOT
SF3,SMIAUR,1,SERREP & LYOFER IN PLOT
SF4,Bare ground,0,QUEMYR IN PLOT
SF4,CWD,6,QUEMYR IN PLOT
SF4,Leaf material,10,QUEMYR IN PLOT
SF4,QUEMYR,8,QUEMYR IN PLOT
SF4,QUEGEM,5,QUEMYR IN PLOT
SF4,GALELL,6,QUEMYR IN PLOT
SF4,QUECHA,5,QUEMYR IN PLOT
SF4,SMIAUR,5,QUEMYR IN PLOT
SF5,Bare ground,0,
SF5,CWD,6,
SF5,Leaf material,10,
SF5,QUECHA,7,
SF5,SERREP,8,
SF6,Bare ground,0,
SF6,CWD,2,
SF6,Leaf material,10,
SF6,QUECHA,4,
SF6,QUEMYR,7,
SF7,Bare ground,6,
SF7,CWD,1,
SF7,Leaf material,7,
SF7,QUEMYR,7,
SF7,VACMYR,6,
SF7,SERREP,5,
SF8,Bare ground,1,
SF8,CWD,1,
SF8,Leaf material,10,
SF8,LYOLUC,9,
SF8,GAYDUM,7,
SF8,QUEMYR,6,
SF8,ARIBEY,3,
SF9,Bare ground,6,
SF9,CWD,6,
SF9,Leaf material,7,
SF9,SERREP,4,
SF9,ARIBEY,6,
SF9,QUEGEM,4,
SF9,LYOFRU,4,
SF9,SMIAUR,1,
SF9,GLAELL,6,
SF9,DICBRE,3,
SF9,ARISPI,4,
SF9,DICSTR var GLA,4,
SF9,DICPOR VAR POR,1,
SF9,ERIPUS,1,
SF9,EDRUNI,2,
SF10,Bare ground,0,
SF10,CWD,1,
SF10,Leaf material,10,
SF10,QUEMYR,8,
SF10,VACMYR,1,
SF10,TEPCHR,5,
SF10,ARIBEY,7,
SF10,QUEGEM,2,
SF10,GAYDUM,2,
SF10,ANDCUM,1,
